"Route","Year","Shannon","Lati","Longi","o$GEOID","o$NAME"
39,2006,3.24627129060741,40.4606653,-82.6249903,"39083","Knox"
39,2008,3.24840902670126,40.4606653,-82.6249903,"39083","Knox"
39,2013,3.27706789524821,40.4606653,-82.6249903,"39083","Knox"
39,2004,3.32677751685157,40.4606653,-82.6249903,"39083","Knox"
39,2011,3.29221551344274,40.4606653,-82.6249903,"39083","Knox"
39,2001,3.27016058529027,40.4606653,-82.6249903,"39083","Knox"
39,2005,3.22193988222965,40.4606653,-82.6249903,"39083","Knox"
39,2010,3.32674879566395,40.4606653,-82.6249903,"39083","Knox"
39,2009,3.27468460456902,40.4606653,-82.6249903,"39083","Knox"
39,2003,3.17981915150347,40.4606653,-82.6249903,"39083","Knox"
40,2000,3.28173274961014,40.8786396,-82.1083506,"39169","Wayne"
40,2011,3.09066342527843,40.8786396,-82.1083506,"39169","Wayne"
40,2012,3.1895667718164,40.8786396,-82.1083506,"39169","Wayne"
40,2013,3.25441099710721,40.8786396,-82.1083506,"39169","Wayne"
40,2010,3.19686225322857,40.8786396,-82.1083506,"39169","Wayne"
40,2001,3.21310275977112,40.8786396,-82.1083506,"39169","Wayne"
40,2008,3.35134908812208,40.8786396,-82.1083506,"39169","Wayne"
40,2005,2.94982040473506,40.8786396,-82.1083506,"39169","Wayne"
40,2003,3.07842999637292,40.8786396,-82.1083506,"39169","Wayne"
40,2002,2.85117128362333,40.8786396,-82.1083506,"39169","Wayne"
40,2007,3.27482424986222,40.8786396,-82.1083506,"39169","Wayne"
40,2006,3.05241409405695,40.8786396,-82.1083506,"39169","Wayne"
40,2009,3.07480471336694,40.8786396,-82.1083506,"39169","Wayne"
42,2003,3.14234931401884,40.4600977,-82.7639629,"39117","Morrow"
42,2013,3.36360003264518,40.4600977,-82.7639629,"39117","Morrow"
42,2004,3.00548206164806,40.4600977,-82.7639629,"39117","Morrow"
42,2000,3.20292134860091,40.4600977,-82.7639629,"39117","Morrow"
42,2009,3.07879754224872,40.4600977,-82.7639629,"39117","Morrow"
42,2011,3.40927257652198,40.4600977,-82.7639629,"39117","Morrow"
42,2006,2.9502352856346,40.4600977,-82.7639629,"39117","Morrow"
42,2001,3.10901016093042,40.4600977,-82.7639629,"39117","Morrow"
42,2012,3.37476445036576,40.4600977,-82.7639629,"39117","Morrow"
42,2008,3.02589492422466,40.4600977,-82.7639629,"39117","Morrow"
42,2007,3.08513727806061,40.4600977,-82.7639629,"39117","Morrow"
42,2010,2.87600691002453,40.4600977,-82.7639629,"39117","Morrow"
42,2005,2.94068092696538,40.4600977,-82.7639629,"39117","Morrow"
42,2002,3.16597883091836,40.4600977,-82.7639629,"39117","Morrow"
43,2005,3.152610752963,39.9930387,-82.0294509,"39119","Muskingum"
43,2013,3.51590677579499,39.9930387,-82.0294509,"39119","Muskingum"
43,2001,3.57129674172573,39.9930387,-82.0294509,"39119","Muskingum"
43,2007,3.34996959637099,39.9930387,-82.0294509,"39119","Muskingum"
43,2012,3.32525867789268,39.9930387,-82.0294509,"39119","Muskingum"
43,2003,3.22702077774231,39.9930387,-82.0294509,"39119","Muskingum"
43,2000,3.64806904916956,39.9930387,-82.0294509,"39119","Muskingum"
46,2009,3.59589920498467,40.6059796,-81.1683844,"39019","Carroll"
46,2003,3.49245165311698,40.6059796,-81.1683844,"39019","Carroll"
46,2010,3.61682762646129,40.6059796,-81.1683844,"39019","Carroll"
46,2008,3.68106046389851,40.6059796,-81.1683844,"39019","Carroll"
46,2007,3.49783782052528,40.6059796,-81.1683844,"39019","Carroll"
46,2013,3.20175045040381,40.6059796,-81.1683844,"39019","Carroll"
46,2006,3.59587469602597,40.6059796,-81.1683844,"39019","Carroll"
