Route,Year,Shannon,Lati,Longi,GEOID,county
46,2011,3.596261276,40.6059796,-81.1683844,39019,Carroll
46,2005,3.622002893,40.6059796,-81.1683844,39019,Carroll
47,2012,2.891045977,40.6455357,-81.8418429,39075,Holmes
47,2005,3.37027217,40.6455357,-81.8418429,39075,Holmes
47,2003,2.867409377,40.6455357,-81.8418429,39075,Holmes
47,2001,3.199530886,40.6455357,-81.8418429,39075,Holmes
47,2010,3.078803432,40.6455357,-81.8418429,39075,Holmes
47,2000,3.179481043,40.6455357,-81.8418429,39075,Holmes
49,2011,3.803843277,40.1062833,-81.8999167,39119,Muskingum
49,2009,3.864749079,40.1062833,-81.8999167,39119,Muskingum
49,2006,3.942195672,40.1062833,-81.8999167,39119,Muskingum
49,2005,3.852431993,40.1062833,-81.8999167,39119,Muskingum
49,2004,3.815142785,40.1062833,-81.8999167,39119,Muskingum
49,2003,3.827011054,40.1062833,-81.8999167,39119,Muskingum
49,2010,3.900056887,40.1062833,-81.8999167,39119,Muskingum
49,2000,3.790458839,40.1062833,-81.8999167,39119,Muskingum
49,2012,3.83097249,40.1062833,-81.8999167,39119,Muskingum
49,2008,3.851065484,40.1062833,-81.8999167,39119,Muskingum
49,2007,3.856600186,40.1062833,-81.8999167,39119,Muskingum
49,2013,3.815209651,40.1062833,-81.8999167,39119,Muskingum
49,2001,3.897387199,40.1062833,-81.8999167,39119,Muskingum
56,2003,3.129377793,40.2788528,-80.7678799,39081,Jefferson
56,2013,3.27715691,40.2788528,-80.7678799,39081,Jefferson
56,2002,2.982152021,40.2788528,-80.7678799,39081,Jefferson
56,2001,3.461467237,40.2788528,-80.7678799,39081,Jefferson
56,2004,3.437013237,40.2788528,-80.7678799,39081,Jefferson
56,2000,3.288746355,40.2788528,-80.7678799,39081,Jefferson
56,2006,3.31835691,40.2788528,-80.7678799,39081,Jefferson
56,2012,3.306204183,40.2788528,-80.7678799,39081,Jefferson
58,2003,3.096529022,39.6578707,-84.3980039,39113,Montgomery
58,2009,3.496980183,39.6578707,-84.3980039,39113,Montgomery
58,2008,3.494922154,39.6578707,-84.3980039,39113,Montgomery
58,2004,3.318581039,39.6578707,-84.3980039,39113,Montgomery
