"ID","Status","lat","lon"
21049,"Certified",40.4644416,-81.8272951
21050,"Certified",40.6672818,-82.0951519
21056,"Certified",40.5354478,-81.807868
21040,"Certified",40.6494659,-82.008241
21041,"Certified",40.64202,-81.829992
21042,"Certified",40.4709218,-83.6836999
21036,"Certified",40.6219839,-83.4902105
21037,"Certified",40.615541,-81.7833825
20677,"Certified",41.391338,-82.624047
20685,"Certified",40.4844102,-82.5405726
20687,"Certified",40.3605873,-81.0730114
20688,"Certified",41.182499,-81.980788
20679,"Certified",40.219581,-82.576202
20680,"Certified",39.3817441,-82.1751787
20681,"Certified",40.6820169,-82.1721163
20593,"Certified",41.391709,-81.0877
20668,"Certified",41.271123,-83.0365434
20670,"Certified",40.4668348,-83.6991251
20671,"Certified",39.939314,-84.450374
20673,"Certified",40.863019,-82.028805
20674,"Certified",39.2651487,-84.2437365
20675,"Certified",39.8517414,-82.3267078
20665,"Certified",40.371947,-84.713301
20666,"Certified",40.93936,-81.95172
20660,"Certified",40.6767255,-81.8704168
20653,"Certified",39.8453418,-82.6007185
20704,"Certified",40.7334612,-81.8988701
20705,"Certified",40.63707,-81.8004799
20698,"Certified",40.9976259,-82.487741
20699,"Certified",40.905539,-81.863253
20700,"Certified",40.560969,-82.051414
20701,"Certified",40.6338834,-83.5380506
20690,"Certified",40.8997912,-82.4745229
20691,"Certified",39.928893,-84.226922
20694,"Certified",40.954479,-82.447988
20695,"Certified",39.3593764,-83.3899611
20696,"Certified",40.9315104,-82.4481763
20707,"Certified",40.6712333,-81.8722309
20708,"Certified",39.2837102,-83.5154993
20723,"Certified",40.8998336,-82.3874903
20720,"Certified",40.931905,-82.112673
20718,"Certified",40.433605,-82.453481
20710,"Certified",40.571046,-83.5902535
20711,"Certified",40.637364,-81.711671
20620,"Certified",39.506441,-84.650403
20621,"Certified",39.72837,-84.380506
20626,"Certified",40.332819,-82.391762
20623,"Certified",39.34756,-82.096099
20636,"Certified",40.676948,-81.991698
20637,"Certified",40.661722,-81.9761539
20638,"Certified",40.668653,-81.991349
20639,"Certified",41.0500778,-80.588254
20640,"Certified",40.552147,-82.241584
20641,"Certified",40.1075615,-83.2674165
20643,"Certified",40.8417455,-81.7655842
20644,"Certified",40.737085,-81.775659
20645,"Certified",41.039315,-82.117335
20646,"Certified",40.781987,-81.806692
20647,"Certified",40.904306,-82.171291
20648,"Certified",41.045138,-82.114001
20655,"Certified",40.902429,-83.927002
20656,"Certified",40.871818,-83.930828
20651,"Certified",40.683674,-81.809051
20628,"Certified",41.158774,-82.3493385
20629,"Certified",40.1135388,-82.831096
20604,"Certified",40.040286,-84.398469
20611,"Certified",40.97913,-82.5285619
20614,"Certified",40.723994,-81.921245
20615,"Certified",41.004146,-82.168796
20616,"Certified",40.985368,-82.142644
20617,"Certified",40.7114822,-81.9371797
20618,"Certified",39.1662844,-82.1656878
20601,"Certified",40.5850154,-81.8011282
20602,"Certified",41.390694,-81.327404
20606,"Certified",39.191244,-84.323459
