"Route","Year","Shannon","Lati","Longi"
"123",22,2001,3.38578858752153,41.3710349,-80.9900079
"124",22,2003,3.17891442863611,41.3710349,-80.9900079
"125",22,2002,3.13205661414931,41.3710349,-80.9900079
"126",22,2005,3.09346319085859,41.3710349,-80.9900079
"127",22,2013,3.11908534020837,41.3710349,-80.9900079
"128",22,2006,3.13031412953576,41.3710349,-80.9900079
"129",22,2011,3.19677145249835,41.3710349,-80.9900079
"130",22,2007,3.22330044303682,41.3710349,-80.9900079
"131",24,2001,2.98731479377432,40.4824537,-84.1838359
"132",24,2005,2.95343087876123,40.4824537,-84.1838359
"133",24,2000,3.02925626750901,40.4824537,-84.1838359
"134",24,2010,2.9942597150419,40.4824537,-84.1838359
"135",24,2003,2.70723629494492,40.4824537,-84.1838359
"136",24,2013,3.05522710330282,40.4824537,-84.1838359
"137",24,2012,3.14340042418377,40.4824537,-84.1838359
"138",24,2004,3.04820966662756,40.4824537,-84.1838359
"139",24,2011,3.03789423975962,40.4824537,-84.1838359
"140",24,2002,3.18710879783522,40.4824537,-84.1838359
"141",25,2012,2.96310470102102,40.9809757,-84.1972889
"142",25,2013,2.87861978170606,40.9809757,-84.1972889
"143",25,2001,2.66864811571582,40.9809757,-84.1972889
"144",25,2009,2.45726012885773,40.9809757,-84.1972889
"145",25,2010,2.84843990114702,40.9809757,-84.1972889
"146",25,2005,2.55144287138902,40.9809757,-84.1972889
"147",25,2007,2.57600552201095,40.9809757,-84.1972889
"148",25,2000,2.63281196284251,40.9809757,-84.1972889
"149",25,2011,3.07636174128415,40.9809757,-84.1972889
"150",25,2003,2.45936554460218,40.9809757,-84.1972889
"151",25,2006,2.50940982904476,40.9809757,-84.1972889
"152",25,2004,2.51782425248434,40.9809757,-84.1972889
"153",25,2002,2.6260952177832,40.9809757,-84.1972889
"154",25,2008,2.49950648382475,40.9809757,-84.1972889
"155",27,2012,3.04357982366404,40.2671711,-84.7793129
"156",27,2002,2.70847264579097,40.2671711,-84.7793129
"157",27,2010,2.57505859431228,40.2671711,-84.7793129
"158",27,2001,2.61237691426377,40.2671711,-84.7793129
"159",31,2009,3.44298706858371,40.1540697,-83.7262559
"160",31,2013,3.19107000561911,40.1540697,-83.7262559
"161",31,2003,3.34023026398,40.1540697,-83.7262559
"162",31,2002,3.34673618717667,40.1540697,-83.7262559
"163",31,2011,3.05366351919838,40.1540697,-83.7262559
"164",31,2012,3.26610216984957,40.1540697,-83.7262559
"165",31,2001,3.32275790814189,40.1540697,-83.7262559
"166",31,2007,2.71570446838019,40.1540697,-83.7262559
"167",32,2000,3.13550203060738,40.6744266,-83.6735259
"168",32,2013,2.9118226091048,40.6744266,-83.6735259
"169",32,2003,2.8798842330036,40.6744266,-83.6735259
"170",32,2002,3.07442179000239,40.6744266,-83.6735259
"171",32,2001,3.13791898356248,40.6744266,-83.6735259
"172",32,2004,2.98294439431869,40.6744266,-83.6735259
"173",33,2005,2.80596011280103,40.7097397,-83.5725179
"174",33,2000,3.00932927668447,40.7097397,-83.5725179
"175",33,2010,2.98171275337147,40.7097397,-83.5725179
"176",33,2013,3.16656333374031,40.7097397,-83.5725179
"177",33,2006,2.76962664519076,40.7097397,-83.5725179
"178",33,2007,3.04672006806788,40.7097397,-83.5725179
"179",33,2003,2.81421883137473,40.7097397,-83.5725179
"180",33,2001,3.10924803655934,40.7097397,-83.5725179
"181",34,2003,3.37946823658027,40.5642137,-83.0386289
"182",34,2002,3.29048976842751,40.5642137,-83.0386289
"183",34,2007,3.0565810841074,40.5642137,-83.0386289
"184",34,2006,3.02319499440866,40.5642137,-83.0386289
"185",34,2009,2.80847156112147,40.5642137,-83.0386289
"186",34,2010,2.81299159474795,40.5642137,-83.0386289
"187",34,2005,3.13900385465475,40.5642137,-83.0386289
"188",35,2012,2.70435897310305,40.246894,-83.2978987
"189",35,2007,2.94830460004836,40.246894,-83.2978987
"190",35,2009,2.87094135683386,40.246894,-83.2978987
"191",35,2010,2.73931006175418,40.246894,-83.2978987
"192",35,2000,2.46828630814484,40.246894,-83.2978987
"193",35,2005,2.36030114481389,40.246894,-83.2978987
"194",35,2011,2.62916570322509,40.246894,-83.2978987
"195",35,2001,2.99755421036449,40.246894,-83.2978987
"196",35,2013,2.44596584639619,40.246894,-83.2978987
"197",35,2008,3.17678196441915,40.246894,-83.2978987
"198",35,2006,3.00237390383546,40.246894,-83.2978987
"199",35,2003,2.59321096219443,40.246894,-83.2978987
"200",39,2012,3.23847649576133,40.4606653,-82.6249903
"201",39,2000,3.33906361294837,40.4606653,-82.6249903
"202",39,2002,3.37287146024472,40.4606653,-82.6249903
"203",39,2006,3.24627129060741,40.4606653,-82.6249903
"204",39,2008,3.24840902670126,40.4606653,-82.6249903
"205",39,2013,3.27706789524821,40.4606653,-82.6249903
"206",39,2004,3.32677751685157,40.4606653,-82.6249903
"207",39,2011,3.29221551344274,40.4606653,-82.6249903
"208",39,2001,3.27016058529027,40.4606653,-82.6249903
"209",39,2005,3.22193988222965,40.4606653,-82.6249903
"210",39,2010,3.32674879566395,40.4606653,-82.6249903
"211",39,2009,3.27468460456902,40.4606653,-82.6249903
"212",39,2003,3.17981915150347,40.4606653,-82.6249903
"213",40,2000,3.28173274961014,40.8786396,-82.1083506
"214",40,2011,3.09066342527843,40.8786396,-82.1083506
"215",40,2012,3.1895667718164,40.8786396,-82.1083506
"216",40,2013,3.25441099710721,40.8786396,-82.1083506
"217",40,2010,3.19686225322857,40.8786396,-82.1083506
"218",40,2001,3.21310275977112,40.8786396,-82.1083506
"219",40,2008,3.35134908812208,40.8786396,-82.1083506
"220",40,2005,2.94982040473506,40.8786396,-82.1083506
"221",40,2003,3.07842999637292,40.8786396,-82.1083506
"222",40,2002,2.85117128362333,40.8786396,-82.1083506
"223",40,2007,3.27482424986222,40.8786396,-82.1083506
"224",40,2006,3.05241409405695,40.8786396,-82.1083506
"225",40,2009,3.07480471336694,40.8786396,-82.1083506
"226",42,2003,3.14234931401884,40.4600977,-82.7639629
"227",42,2013,3.36360003264518,40.4600977,-82.7639629
"228",42,2004,3.00548206164806,40.4600977,-82.7639629
"229",42,2000,3.20292134860091,40.4600977,-82.7639629
"230",42,2009,3.07879754224872,40.4600977,-82.7639629
"231",42,2011,3.40927257652198,40.4600977,-82.7639629
"232",42,2006,2.9502352856346,40.4600977,-82.7639629
"233",42,2001,3.10901016093042,40.4600977,-82.7639629
"234",42,2012,3.37476445036576,40.4600977,-82.7639629
"235",42,2008,3.02589492422466,40.4600977,-82.7639629
"236",42,2007,3.08513727806061,40.4600977,-82.7639629
"237",42,2010,2.87600691002453,40.4600977,-82.7639629
"238",42,2005,2.94068092696538,40.4600977,-82.7639629
"239",42,2002,3.16597883091836,40.4600977,-82.7639629
"240",43,2005,3.152610752963,39.9930387,-82.0294509
"241",43,2013,3.51590677579499,39.9930387,-82.0294509
"242",43,2001,3.57129674172573,39.9930387,-82.0294509
"243",43,2007,3.34996959637099,39.9930387,-82.0294509
"244",43,2012,3.32525867789268,39.9930387,-82.0294509
"245",43,2003,3.22702077774231,39.9930387,-82.0294509
"246",43,2000,3.64806904916956,39.9930387,-82.0294509
"247",46,2009,3.59589920498467,40.6059796,-81.1683844
"248",46,2003,3.49245165311698,40.6059796,-81.1683844
"249",46,2010,3.61682762646129,40.6059796,-81.1683844
"250",46,2008,3.68106046389851,40.6059796,-81.1683844
"251",46,2007,3.49783782052528,40.6059796,-81.1683844
"252",46,2013,3.20175045040381,40.6059796,-81.1683844
"253",46,2006,3.59587469602597,40.6059796,-81.1683844
"254",46,2004,3.33180585205303,40.6059796,-81.1683844
"255",46,2011,3.59626127639673,40.6059796,-81.1683844
"256",46,2005,3.62200289319263,40.6059796,-81.1683844
"257",47,2012,2.89104597654755,40.6455357,-81.8418429
"258",47,2005,3.37027217040802,40.6455357,-81.8418429
"259",47,2003,2.86740937699689,40.6455357,-81.8418429
"260",47,2001,3.19953088633266,40.6455357,-81.8418429
"261",47,2010,3.07880343188376,40.6455357,-81.8418429
"262",47,2000,3.17948104273569,40.6455357,-81.8418429
"263",49,2011,3.80384327730438,40.1062833,-81.8999167
"264",49,2009,3.86474907904131,40.1062833,-81.8999167
"265",49,2006,3.94219567200292,40.1062833,-81.8999167
"266",49,2005,3.85243199318953,40.1062833,-81.8999167
"267",49,2004,3.8151427845652,40.1062833,-81.8999167
"268",49,2003,3.82701105447821,40.1062833,-81.8999167
"269",49,2010,3.90005688682929,40.1062833,-81.8999167
"270",49,2000,3.79045883898513,40.1062833,-81.8999167
"271",49,2012,3.83097249000622,40.1062833,-81.8999167
"272",49,2008,3.85106548393717,40.1062833,-81.8999167
"273",49,2007,3.85660018637238,40.1062833,-81.8999167
"274",49,2013,3.8152096511831,40.1062833,-81.8999167
"275",49,2001,3.89738719901415,40.1062833,-81.8999167
"276",56,2003,3.12937779276725,40.2788528,-80.7678799
"277",56,2013,3.27715690986073,40.2788528,-80.7678799
"278",56,2002,2.98215202121185,40.2788528,-80.7678799
"279",56,2001,3.46146723659938,40.2788528,-80.7678799
"280",56,2004,3.43701323708232,40.2788528,-80.7678799
"281",56,2000,3.28874635486489,40.2788528,-80.7678799
"282",56,2006,3.31835691013657,40.2788528,-80.7678799
"283",56,2012,3.30620418331823,40.2788528,-80.7678799
"284",58,2003,3.09652902182069,39.6578707,-84.3980039
"285",58,2009,3.49698018318551,39.6578707,-84.3980039
"286",58,2008,3.49492215438627,39.6578707,-84.3980039
"287",58,2004,3.31858103884123,39.6578707,-84.3980039
"288",58,2005,3.35752093134312,39.6578707,-84.3980039
"289",58,2010,3.33058850601367,39.6578707,-84.3980039
"290",58,2007,3.5160200545157,39.6578707,-84.3980039
"291",58,2001,3.54351430632666,39.6578707,-84.3980039
"292",58,2012,3.46500731184964,39.6578707,-84.3980039
"293",58,2000,3.35611599976092,39.6578707,-84.3980039
"294",60,2003,2.86936915246861,39.493375,-84.6652972
"295",60,2011,3.04449838101453,39.493375,-84.6652972
"296",60,2008,3.05885594082793,39.493375,-84.6652972
"297",60,2001,2.98754761696797,39.493375,-84.6652972
"298",60,2009,2.69012707327219,39.493375,-84.6652972
"299",60,2000,2.7985137637009,39.493375,-84.6652972
"300",60,2004,2.94914066820254,39.493375,-84.6652972
"301",60,2010,3.11273674134421,39.493375,-84.6652972
"302",64,2012,2.87961800566219,39.3611652,-83.8637013
"303",64,2010,2.81545530131051,39.3611652,-83.8637013
"304",64,2000,3.27514338921629,39.3611652,-83.8637013
"305",64,2003,3.14053706255805,39.3611652,-83.8637013
"306",64,2008,2.97758756866928,39.3611652,-83.8637013
"307",64,2009,2.99117812006799,39.3611652,-83.8637013
"308",64,2007,2.88912327663796,39.3611652,-83.8637013
"309",64,2004,3.01294235997605,39.3611652,-83.8637013
"310",64,2005,2.91553070993141,39.3611652,-83.8637013
"311",64,2011,2.93992563058758,39.3611652,-83.8637013
"312",64,2002,2.97789766780355,39.3611652,-83.8637013
"313",64,2006,3.03162810768308,39.3611652,-83.8637013
"314",64,2001,3.26023864861059,39.3611652,-83.8637013
"315",64,2013,2.82703070829599,39.3611652,-83.8637013
"316",67,2006,2.32198692102463,39.6821707,-83.8036269
"317",67,2002,2.58965867272452,39.6821707,-83.8036269
"318",67,2007,2.53071013051003,39.6821707,-83.8036269
"319",67,2008,2.47940124057679,39.6821707,-83.8036269
"320",67,2003,2.5652161670175,39.6821707,-83.8036269
"321",67,2001,2.5638637121727,39.6821707,-83.8036269
"322",67,2012,2.65951738308141,39.6821707,-83.8036269
"323",67,2005,2.59617417918669,39.6821707,-83.8036269
"324",67,2009,2.63488583685185,39.6821707,-83.8036269
"325",67,2000,2.4930427624203,39.6821707,-83.8036269
"326",67,2010,2.49741429208838,39.6821707,-83.8036269
"327",67,2011,2.80548410309532,39.6821707,-83.8036269
"328",67,2004,2.50150232398244,39.6821707,-83.8036269
"329",72,2005,3.6736114733249,39.1991097,-82.6751939
"330",72,2013,3.62781264080756,39.1991097,-82.6751939
"331",72,2004,3.66913236161305,39.1991097,-82.6751939
"332",72,2009,3.43830791325089,39.1991097,-82.6751939
"333",72,2007,3.57927217817488,39.1991097,-82.6751939
"334",72,2003,3.64987073210102,39.1991097,-82.6751939
"335",72,2010,3.46088076690159,39.1991097,-82.6751939
