"GEOID","reclass","year","total"
"18151","2",2006,96775
"18161","2",2006,32045
"18177","2",2006,135665
"21015","2",2006,141528
"21019","2",2006,97755
"21023","2",2006,28234
"21037","2",2006,92841
"21089","2",2006,104156
"21117","2",2006,130184
"21135","2",2006,74245
"21161","2",2006,51230
"21191","2",2006,47595
"26023","2",2006,121799
"26059","2",2006,140247
"26091","2",2006,210419
"26115","2",2006,293858
"39001","2",2006,82097
"39003","2",2006,212050
"39005","2",2006,109429
"39007","2",2006,220531
"39009","2",2006,123542
"39011","2",2006,113811
"39013","2",2006,148047
"39015","2",2006,91315
"39017","2",2006,438915
"39019","2",2006,80154
"39021","2",2006,88615
"39023","2",2006,204555
"39025","2",2006,206391
"39027","2",2006,95132
"39029","2",2006,215351
"39031","2",2006,126816
"39033","2",2006,115072
"39035","2",2006,1020478
"39037","2",2006,136614
"39039","2",2006,100732
"39041","2",2006,236841
"39043","2",2006,140492
"39045","2",2006,187604
"39047","2",2006,78617
"39049","2",2006,961538
"39051","2",2006,106412
"39053","2",2006,105685
"39055","2",2006,202173
"39057","2",2006,254857
"39059","2",2006,142092
"39061","2",2006,664006
"39063","2",2006,174418
"39065","2",2006,96183
"39067","2",2006,84131
"39069","2",2006,97168
"39071","2",2006,99844
"39073","2",2006,78288
"39075","2",2006,95504
"39077","2",2006,129783
"39079","2",2006,98442
"39081","2",2006,141967
"39083","2",2006,134743
"39085","2",2006,316186
"39087","2",2006,122955
"39089","2",2006,228574
"39091","2",2006,132965
"39093","2",2006,385445
"39095","2",2006,446835
"39097","2",2006,83793
"39099","2",2006,359978
"39101","2",2006,126299
"39103","2",2006,263794
"39105","2",2006,91852
"39107","2",2006,118653
"39109","2",2006,160681
"39111","2",2006,95485
"39113","2",2006,595424
"39115","2",2006,81415
"39117","2",2006,83957
"39119","2",2006,193274
"39121","2",2006,89601
"39123","2",2006,116557
"39125","2",2006,87410
"39127","2",2006,95294
"39129","2",2006,105090
"39131","2",2006,85335
"39133","2",2006,252655
"39135","2",2006,100509
"39137","2",2006,110305
"39139","2",2006,203932
"39141","2",2006,138037
"39143","2",2006,139269
"39145","2",2006,142155
"39147","2",2006,142202
"39149","2",2006,111938
"39151","2",2006,525223
"39153","2",2006,674688
"39155","2",2006,358184
"39157","2",2006,184750
"39159","2",2006,109654
"39161","2",2006,100423
"39163","2",2006,73839
"39165","2",2006,280569
"39167","2",2006,178281
"39169","2",2006,210882
"39171","2",2006,112013
"39173","2",2006,252529
"39175","2",2006,89178
"42007","2",2006,291948
"42039","2",2006,221664
"42049","2",2006,338921
"42073","2",2006,178376
"42085","2",2006,238988
"54009","2",2006,42309
"54011","2",2006,121973
"54029","2",2006,47559
"54035","2",2006,104694
"54051","2",2006,80370
"54053","2",2006,98085
"54069","2",2006,64988
"54073","2",2006,30904
"54095","2",2006,38938
"54099","2",2006,128588
"54103","2",2006,63233
"54107","2",2006,158970
"18001","2",2011,79515
"18003","2",2011,475175
"18029","2",2011,79115
"18033","2",2011,97363
"18047","2",2011,56897
"18075","2",2011,77004
"18135","2",2011,95576
"18151","2",2011,97185
"18161","2",2011,32167
"18177","2",2011,136613
"21015","2",2011,148831
"21019","2",2011,98516
"21023","2",2011,28234
"21037","2",2011,94062
"21089","2",2011,105886
"21117","2",2011,133451
"21135","2",2011,74245
"21161","2",2011,51327
"21191","2",2011,47672
"26023","2",2011,122079
"26059","2",2011,140388
"26091","2",2011,211638
"26115","2",2011,300019
"39001","2",2011,82101
"39003","2",2011,215727
"39005","2",2011,110503
"39007","2",2011,222731
"39009","2",2011,125357
"39011","2",2011,115081
"39013","2",2011,148559
"39015","2",2011,91443
"39017","2",2011,449787
"39019","2",2011,80200
"39021","2",2011,89276
"39023","2",2011,206469
"39025","2",2011,209513
"39027","2",2011,97244
"39029","2",2011,215957
"39031","2",2011,126927
"39033","2",2011,116001
"39035","2",2011,1028414
"39037","2",2011,138187
"39039","2",2011,101291
"39041","2",2011,256453
"39043","2",2011,143150
"39045","2",2011,195872
"39047","2",2011,80069
"39049","2",2011,986392
"39051","2",2011,107804
"39053","2",2011,106076
"39055","2",2011,205221
"39057","2",2011,257574
"39059","2",2011,142459
"39061","2",2011,667302
"39063","2",2011,178194
"39065","2",2011,96425
"39067","2",2011,84142
"39069","2",2011,98406
"39071","2",2011,100074
"39073","2",2011,79063
"39075","2",2011,95567
"39077","2",2011,131557
"39079","2",2011,98493
"39081","2",2011,142263
"39083","2",2011,135271
"39085","2",2011,320162
"39087","2",2011,123864
"39089","2",2011,239490
"39091","2",2011,133402
"39093","2",2011,399231
"39095","2",2011,458137
"39097","2",2011,86100
"39099","2",2011,362772
"39101","2",2011,128464
"39103","2",2011,271059
"39105","2",2011,92033
"39107","2",2011,119983
"39109","2",2011,162833
"39111","2",2011,95613
"39113","2",2011,600365
"39115","2",2011,81447
"39117","2",2011,84343
"39119","2",2011,193983
"39121","2",2011,89599
"39123","2",2011,117375
"39125","2",2011,87877
"39127","2",2011,95517
"39129","2",2011,107988
"39131","2",2011,85497
"39133","2",2011,256548
"39135","2",2011,100739
"39137","2",2011,111675
"39139","2",2011,205091
"39141","2",2011,138917
"39143","2",2011,140851
"39145","2",2011,142305
"39147","2",2011,143290
"39149","2",2011,113185
"39151","2",2011,530746
"39153","2",2011,683756
"39155","2",2011,361364
"39157","2",2011,185379
"39159","2",2011,113950
"39161","2",2011,101432
"39163","2",2011,73889
"39165","2",2011,290219
"39167","2",2011,178926
"39169","2",2011,212472
"39171","2",2011,112052
"39173","2",2011,258854
"39175","2",2011,89579
"42007","2",2011,292914
"42039","2",2011,223482
"42049","2",2011,347290
"42073","2",2011,178719
"42085","2",2011,241525
"54009","2",2011,42775
"54011","2",2011,122985
"54029","2",2011,47646
"54035","2",2011,104956
"54051","2",2011,80382
"54053","2",2011,98978
"54069","2",2011,65633
"54073","2",2011,30903
"54095","2",2011,38938
"54099","2",2011,128751
"54103","2",2011,63231
"54107","2",2011,160191
"18001","3",1992,255
"18003","3",1992,3386
"18029","3",1992,131
"18033","3",1992,232
"18047","3",1992,579
"18075","3",1992,0
"18135","3",1992,0
"18151","3",1992,331
"18161","3",1992,0
"18177","3",1992,0
"21015","3",1992,686
"21019","3",1992,535
"21023","3",1992,210
"21037","3",1992,50
"21089","3",1992,770
"21117","3",1992,105
"21135","3",1992,164
"21161","3",1992,520
"21191","3",1992,1125
"26023","3",1992,2461
"26059","3",1992,2526
"26091","3",1992,2680
"26115","3",1992,12242
"39001","3",1992,3905
"39003","3",1992,325
"39005","3",1992,105
"39007","3",1992,2594
"39009","3",1992,912
"39011","3",1992,80
"39013","3",1992,549
"39015","3",1992,338
"39017","3",1992,1969
"39019","3",1992,40
"39021","3",1992,188
"39023","3",1992,0
"39025","3",1992,456
"39027","3",1992,473
"39029","3",1992,205
"39031","3",1992,157
"39033","3",1992,1506
"39035","3",1992,1215
"39037","3",1992,249
"39039","3",1992,4280
"39041","3",1992,2024
"39043","3",1992,12778
"39045","3",1992,175
"39047","3",1992,496
"39049","3",1992,6463
"39051","3",1992,827
"39053","3",1992,3275
"39055","3",1992,527
"39057","3",1992,951
"39059","3",1992,184
"39061","3",1992,2219
"39063","3",1992,1066
"39065","3",1992,248
"39067","3",1992,43
"39069","3",1992,510
"39071","3",1992,1842
"39073","3",1992,528
"39075","3",1992,23
"39077","3",1992,2401
"39079","3",1992,2433
"39081","3",1992,1024
"39083","3",1992,187
"39085","3",1992,1353
"39087","3",1992,1408
"39089","3",1992,296
"39091","3",1992,1002
"39093","3",1992,2270
"39095","3",1992,5889
"39097","3",1992,217
"39099","3",1992,1659
"39101","3",1992,936
"39103","3",1992,204
"39105","3",1992,2361
"39107","3",1992,30
"39109","3",1992,510
"39111","3",1992,88
"39113","3",1992,697
"39115","3",1992,584
"39117","3",1992,0
"39119","3",1992,1045
"39121","3",1992,791
"39123","3",1992,10646
"39125","3",1992,2031
"39127","3",1992,1138
"39129","3",1992,222
"39131","3",1992,741
"39133","3",1992,912
"39135","3",1992,98
"39137","3",1992,1581
"39139","3",1992,183
"39141","3",1992,701
"39143","3",1992,7825
"39145","3",1992,572
"39147","3",1992,4029
"39149","3",1992,35
"39151","3",1992,1009
"39153","3",1992,465
"39155","3",1992,959
"39157","3",1992,1185
"39159","3",1992,792
"39161","3",1992,0
"39163","3",1992,2429
"39165","3",1992,787
"39167","3",1992,841
"39169","3",1992,128
"39171","3",1992,637
"39173","3",1992,3731
"39175","3",1992,3686
"42007","3",1992,1156
"42039","3",1992,639
"42049","3",1992,3764
"42073","3",1992,2465
"42085","3",1992,574
"54009","3",1992,707
"54011","3",1992,512
"54029","3",1992,124
"54035","3",1992,456
"54051","3",1992,181
"54053","3",1992,1458
"54069","3",1992,211
"54073","3",1992,326
"54095","3",1992,39
"54099","3",1992,874
"54103","3",1992,98
"54107","3",1992,352
"18001","3",2001,266
"18003","3",2001,3410
"18029","3",2001,316
"18033","3",2001,283
"18047","3",2001,633
"18075","3",2001,211
"18135","3",2001,15
"18151","3",2001,421
"18161","3",2001,52
"18177","3",2001,30
"21015","3",2001,1303
"21019","3",2001,705
"21023","3",2001,266
"21037","3",2001,79
"21089","3",2001,1355
