"GEOID","Prop.area","Value","NAME","ALAND","AWATER","INTPTLAT","INTPTLON","prop.land.area"
"39013",3.8519317437695e-05,"41","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",3.91812976893309e-05
"39013",0.00107661492238358,"42","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.0010951172704168
"39013",0.00180206206746016,"43","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00183303171023253
"39013",0.00286455324011659,"45","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00291378250482991
"39013",0.00294993772710348,"46","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00300063438137459
"39013",7.703863487539e-06,"51","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",7.83625953786618e-06
"39013",2.11856245907323e-05,"52","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",2.1549713729132e-05
"39013",3.8519317437695e-06,"53","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",3.91812976893309e-06
"39013",0.000379415276761296,"54","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00038593578223991
"39013",0.000802485779951979,"56","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.000816277035194394
"39013",0.000876314471707561,"61","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.000891374522432279
"39013",0.00132699048572859,"62","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00134979570539745
"39013",0.00141622690445925,"63","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00144056571171107
"39013",0.00924592016229472,"64","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00940481748869573
"39013",0.000986094526404992,"65","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00100304122084687
"39013",6.09889192763504e-05,"67","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",6.2037054674774e-05
"39015",0.00686111298900307,"1","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.00690921698994177
"39015",0.0622591603569497,"2","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.0626956660249155
"39015",0.00028309221200649,"3","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.000285077001945662
"39015",0.363729127230936,"4","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.366279271253603
"39015",0.0305183263475753,"5","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.0307322936152218
"39015",0.522989622769064,"6","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.526656359251168
"39015",0.00046970772489634,"7","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.000473000896263077
"39015",7.04209482603209e-06,"13","Brown",1269135577,8898046,"+38.9313769","-083.8667723",7.09146771009111e-06
"39015",9.85893275644493e-06,"14","Brown",1269135577,8898046,"+38.9313769","-083.8667723",9.92805479412755e-06
"39015",1.61968180998738e-05,"16","Brown",1269135577,8898046,"+38.9313769","-083.8667723",1.63103757332095e-05
"39015",4.22525689561925e-06,"24","Brown",1269135577,8898046,"+38.9313769","-083.8667723",4.25488062605466e-06
"39015",8.45051379123851e-06,"26","Brown",1269135577,8898046,"+38.9313769","-083.8667723",8.50976125210933e-06
"39015",5.0703082747431e-05,"41","Brown",1269135577,8898046,"+38.9313769","-083.8667723",5.1058567512656e-05
"39015",0.000647168514512349,"42","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.000651705882557373
"39015",0.000115490355146926,"43","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.000116300070445494
"39015",0.000852797683432486,"45","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.000858776739692033
"39015",0.00417314539390662,"46","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.00420240376499999
"39015",0.00017112290427258,"61","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.000172322665355214
"39015",0.000195066026681089,"62","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.000196433655569524
"39015",0.00014929241031188,"63","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.000150339115453931
"39015",0.00586888182801514,"64","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.00591002918958993
"39015",0.000607732783486569,"65","Brown",1269135577,8898046,"+38.9313769","-083.8667723",0.000611993663380863
"39015",1.26757706868578e-05,"67","Brown",1269135577,8898046,"+38.9313769","-083.8667723",1.2764641878164e-05
"39017",0.00801153649428941,"1","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.00806452038137241
"39017",0.296051367260837,"2","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.298009287845096
"39017",5.7652905854283e-05,"3","Butler",1209637383,7999875,"+39.4397469","-084.5657341",5.80341904001336e-05
"39017",0.178911010522394,"4","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.180094229345174
"39017",0.0104669589718269,"5","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.0105361816699525
"39017",0.459151437922603,"6","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.462188012487074
"39017",0.00174732653127596,"7","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.00175888238597328
"39017",0.000841880253436261,"12","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.000847447985458361
"39017",1.99567751034057e-05,"13","Butler",1209637383,7999875,"+39.4397469","-084.5657341",2.00887582154309e-05
"39017",0.000133784307174682,"14","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.000134669082851592
"39017",0.000722139602815827,"16","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.000726915436165776
"39017",1.99567751034057e-05,"21","Butler",1209637383,7999875,"+39.4397469","-084.5657341",2.00887582154309e-05
"39017",0.000925403052943107,"24","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.000931523158730349
