COMPOUND,Chemical Class,Use Type,yr_by_county_use,total_kg,years_used,counties_used
"2,4-DB",Chlorophenoxy acid or ester,Herbicide,2585,346313,21,128
MCPA,Chlorophenoxy acid or ester,Herbicide,2199,346421.8,21,128
FOMESAFEN,Diphenyl ether,Herbicide,2450,351572,21,126
MALEIC HYDRAZIDE,Unclassified,Plant Growth Regulator,1581,364019.8,21,111
SETHOXYDIM,Cyclohexenone derivative,Herbicide,2568,369272.9,21,128
MANEB,Dithiocarbamate-ETU,Fungicide,1744,377822.3,21,127
GLUFOSINATE,Phosphonoglycine,Herbicide,2121,382581.8,17,128
ETHALFLURALIN,"2,6-Dinitroaniline",Herbicide,2494,502086.9,21,127
PROPACHLOR,Chloroacetanilide,Herbicide,743,529620.8,10,112
MESOTRIONE,Benzoylcyclohexanedione,Herbicide,1497,532660.6,12,128
ZIRAM,"Dithiocarbamate, Inorganic-Zinc","Fungicide, Microbiocide, Dog and Cat Repellent",2460,536384.4,21,127
IMAZAQUIN,Imidazolinone,"Herbicide, Plant Growth Regulator",2418,539089.2,21,125
DIMETHOATE,Organophosphorus,Insecticide,2605,546961.4,21,128
FLUFENACET,Anilide,Herbicide,1644,584023.3,15,128
FONOFOS,Organophosphorus,Insecticide,927,594534.4,8,128
BROMOXYNIL,Hydroxybenzonitrile,Herbicide,2392,602871.9,21,128
CARBOFURAN,N-Methyl Carbamate,"Insecticide, Nematicide",2290,609191.4,19,128
DIMETHENAMID-P,Amide,Herbicide,1365,621718.7,13,128
COPPER HYDROXIDE,Inorganic-Copper,"Fungicide, Microbiocide, Nematicide",2631,686345,21,128
PHOSMET,Organophosphorus,Insecticide,2604,706747.4,21,128
PHORATE,Organophosphorus,"Insecticide, Nematicide",1787,718710.3,20,128
CLOMAZONE,Unclassified,Herbicide,2571,762006.1,21,127
METIRAM,"Dithiocarbamate-ETU, Inorganic-Zinc",Fungicide,2587,769987.5,21,127
CHLOROPICRIN,Inorganic,"Fumigant, Nematicide",734,917378.3,18,120
LINURON,Urea,Herbicide,2402,1030474.2,21,128
SULFOSATE,Phosphonoglycine,Herbicide,1233,1122307.9,13,128
CARBARYL,N-Methyl Carbamate,"Insecticide, Nematicide, Plant Growth Regulator",2682,1171738.5,21,128
TRIFLURALIN,"2,6-Dinitroaniline",Herbicide,2463,1353364.2,21,128
CAPTAN,Thiophthalimide,Fungicide,2644,1365545.4,21,128
TERBUFOS,Organophosphorus,"Insecticide, Nematicide",2472,1498759.6,21,128
SULFUR,Inorganic,"Fungicide, Insecticide",2589,1509903.3,21,127
CHLOROTHALONIL,Substituted Benzene,Fungicide,2643,1624765.3,21,128
DICHLOROPROPENE,Halogenated organic,"Fumigant, Nematicide",466,1656128.3,17,121
METAM,Dithiocarbamate-MITC,"Fumigant, Fungicide, Microbiocide, Algaecide, Nematicide",291,1827624.5,20,91
PARAQUAT,Bipyridylium,Herbicide,2687,2027365.9,21,128
BENTAZONE,Unclassified,Herbicide,2609,2048776,21,128
MANCOZEB,"Dithiocarbamate-ETU, Inorganic-Zinc",Fungicide,2670,2089802.9,21,128
BUTYLATE,Thiocarbamate,Herbicide,1206,2184933.2,13,128
DICAMBA,Benzoic acid,Herbicide,2686,2192175.6,21,128
EPTC,Thiocarbamate,Herbicide,2022,2479982.5,21,128
METRIBUZIN,Triazinone,Herbicide,2677,2548609.5,21,128
PETROLEUM OIL,Petroleum derivative-Aromatic,"Insecticide, Adjuvant, Herbicide, Fungicide",2613,2628190.7,21,128
METHYL BROMIDE,Halogenated organic,"Fumigant, Insecticide, Herbicide, Nematicide",1113,2899248.5,17,125
DIMETHENAMID,Amide,Herbicide,2520,3026954.8,20,128
CHLORPYRIFOS,Organophosphorus,"Insecticide, Nematicide",2688,3937095,21,128
SIMAZINE,Triazine,Herbicide,2687,4161160.5,21,128
CYANAZINE,Triazine,Herbicide,1608,6145781.3,15,128
PENDIMETHALIN,"2,6-Dinitroaniline",Herbicide,2688,7049014.1,21,128
"2,4-D",Chlorophenoxy acid or ester,"Herbicide, Plant Growth Regulator",2688,9099827.8,21,128
METOLACHLOR-S,Chloroacetanilide,Herbicide,1920,12319860.4,15,128
ALACHLOR,Chloroacetanilide,Herbicide,2654,12659403.2,21,128
ACETOCHLOR,Chloroacetanilide,Herbicide,2432,18569278.9,19,128
METOLACHLOR,Chloroacetanilide,Herbicide,2588,19880691.2,21,128
ATRAZINE,Triazine,Herbicide,2688,45236779.2,21,128
GLYPHOSATE,Phosphonoglycine,Herbicide,2688,54182537.5,21,128
