COMPOUND,PANChemClass,PANUseType,TysonUseType,MOA,MOA_source,AlanWoodChemClass,yr_by_county_use,total_kg,years_used,counties_used
TRI-ALLATE,Thiocarbamate,Herbicide,Herbicide,N,HRAC,Thiocarbamate,52,9747,2,52
VERNOLATE,Thiocarbamate,Herbicide,Herbicide,N,HRAC,Thiocarbamate,10,23718,1,10
ETHOFUMESATE,Unclassified,Herbicide,Herbicide,N,HRAC,Benzofuranyl alkylsulfonate,185,22239,16,14
TCA,Unclassified,"Breakdown product, Herbicide",Herbicide,N,HRAC,Halogenated aliphatic,2,5,1,2
CHLORAMBEN,Benzoic acid,Herbicide,Herbicide,O,HRAC,Aromatic acid,528,185317,6,113
DICAMBA,Benzoic acid,Herbicide,Herbicide,O,HRAC,Aromatic acid,2686,2192180,21,128
"2,4-D",Chlorophenoxy acid or ester,"Herbicide, Plant Growth Regulator",Herbicide,O,HRAC,Phenoxy,2688,9099830,21,128
"2,4-DB",Chlorophenoxy acid or ester,Herbicide,Herbicide,O,HRAC,Phenoxy,2585,346313,21,128
DICHLORPROP,Chlorophenoxy acid or ester,Herbicide,Herbicide,O,HRAC,Phenoxy,1228,175552,18,128
MCPA,Chlorophenoxy acid or ester,Herbicide,Herbicide,O,HRAC,Phenoxy,2199,346422,21,128
MCPB,Chlorophenoxy acid or ester,Herbicide,Herbicide,O,HRAC,Phenoxy,22,122,8,4
MECOPROP,Chlorophenoxy acid or ester,Herbicide,Herbicide,O,HRAC,Phenoxy,901,16945,10,128
TRICLOPYR,Chloropyridinyl,Herbicide,Herbicide,O,HRAC,Pyridine,2574,93344,21,128
AMINOPYRALID,Pyridinecarboxylic acid,Herbicide,Herbicide,O,HRAC,"Pyridine, Aromatic acid",833,15322,7,124
CLOPYRALID,Pyridinecarboxylic acid,Herbicide,Herbicide,O,HRAC,"Pyridine, Aromatic acid",2491,234442,21,128
FLUROXYPYR,Pyridinecarboxylic acid,Herbicide,Herbicide,O,HRAC,Pyridine,390,33703,9,84
PICLORAM,Pyridinecarboxylic acid,Herbicide,Herbicide,O,HRAC,"Pyridine, Aromatic acid",1641,51849,21,120
NAPTALAM,Amide,Herbicide,Herbicide,P,HRAC,Amide,1589,255629,19,120
DIFLUFENZOPYR,Urea,Herbicide,Herbicide,P,HRAC,Urea,1719,44023,14,127
METAM,Dithiocarbamate-MITC,"Fumigant, Fungicide, Microbiocide, Algaecide, Nematicide",Herbicide,Z,HRAC,Dithiocarbamate,291,1827620,20,91
PELARGONIC ACID,Fatty acid,"Herbicide, Fungicide",Herbicide,Z,HRAC,Unclassified,124,36043,3,82
MSMA,"Organoarsenic, Heavy metal","Herbicide, Defoliant",Herbicide,Z,HRAC,Arsenical,228,32348,7,114
FOSAMINE,Unknown,Herbicide,Herbicide,Z,HRAC,Organophosphorus,41,3558,1,41
SPINETORAM,Spinosyn,Insecticide,Insecticide,5,IRAC,Macrocyclic Lactone,567,1390,5,123
ABAMECTIN,"Botanical , Macrocyclic Lactone",Insecticide,Insecticide,6,IRAC,Macrocyclic Lactone,1143,3341,21,127
EMAMECTIN,Macrocyclic Lactone,Insecticide,Insecticide,6,IRAC,Macrocyclic Lactone,52,14,8,25
CHLORFENAPYR,Pyrazole,Insecticide,Insecticide,13,IRAC,Pyrrole,4,20,1,4
DIFLUBENZURON,Benzoylurea,"Insect Growth Regulator, Insecticide",Insecticide,15,IRAC,Insect Growth Regulator,51,755,2,49
CYROMAZINE,Triazine,"Insect Growth Regulator, Insecticide",Insecticide,17,IRAC,Insect Growth Regulator,3,6,1,3
METHOXYFENOZIDE,Diacylhydrazine,Insecticide,Insecticide,18,IRAC,Insect Growth Regulator,415,1613,11,70
TEBUFENOZIDE,Diacylhydrazine,Insecticide,Insecticide,18,IRAC,Insect Growth Regulator,166,341,7,81
AMITRAZ,Formamidine,Insecticide,Insecticide,19,IRAC,Formamidine,167,1477,6,78
SPIRODICLOFEN,Keto-enol,Insecticide,Insecticide,23,IRAC,Tetronic Acid,472,908,8,104
SPIROTETRAMAT,Keto-enol,Insecticide,Insecticide,23,IRAC,Tetramic Acid,137,190,4,67
CHLORANTRANILIPROLE,Anthranilic diamide,Insecticide,Insecticide,28,IRAC,Diamide,567,1127,5,125
FLUBENDIAMIDE,Anthranilic diamide,Insecticide,Insecticide,28,IRAC,Diamide,110,148,4,101
CLOFENTEZINE,Tetrazine,Insecticide,Insecticide,10A,IRAC,Tetrazine,1618,3243,18,125
ETOXAZOLE,Unclassified,Insecticide,Insecticide,10B,IRAC,Unclassified,435,486,9,89
BACILLUS THURINGIENSIS,Microbial,Insecticide,Insecticide,11A,IRAC,Unclassified,1609,30094,21,127
FENBUTATIN OXIDE,"Organotin, Heavy metal",Insecticide,Insecticide,12B,IRAC,Organotin,430,5940,10,103
PROPARGITE,Unclassified,Insecticide,Insecticide,12C,IRAC,Sulfite Ester,749,43543,9,126
ALDICARB,N-Methyl Carbamate,"Insecticide, Nematicide",Insecticide,1A,IRAC,Carbamate,190,29946,19,25
BENDIOCARB,N-Methyl Carbamate,Insecticide,Insecticide,1A,IRAC,Carbamate,2,0,1,2
CARBARYL,N-Methyl Carbamate,"Insecticide, Nematicide, Plant Growth Regulator",Insecticide,1A,IRAC,Carbamate,2682,1171740,21,128
CARBOFURAN,N-Methyl Carbamate,"Insecticide, Nematicide",Insecticide,1A,IRAC,Carbamate,2290,609191,19,128
FORMETANATE,N-Methyl Carbamate,Insecticide,Insecticide,1A,IRAC,Formamidine,669,8190,14,116
METHOMYL,N-Methyl Carbamate,"Insecticide, Breakdown product",Insecticide,1A,IRAC,Carbamate,2533,117264,21,128
OXAMYL,N-Methyl Carbamate,"Insecticide, Nematicide",Insecticide,1A,IRAC,Carbamate,1689,52600,21,124
PROPOXUR,N-Methyl Carbamate,Insecticide,Insecticide,1A,IRAC,Carbamate,14,481,1,14
THIODICARB,N-Methyl Carbamate,"Molluscicide, Insecticide",Insecticide,1A,IRAC,Carbamate,2163,268700,21,124
TRIMETHACARB,N-Methyl Carbamate,"Insecticide, Molluscicide, Dog and Cat Repellent",Insecticide,1A,IRAC,Carbamate,148,15790,4,44
TRIAZAMATE,Unknown,Insecticide,Insecticide,1A,IRAC,Unclassified,2,3,1,2
ACEPHATE,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,2096,193197,21,127
AZINPHOS-METHYL,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,2604,253321,21,128
CHLORETHOXYFOS,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,1573,83434,18,128
CHLORPYRIFOS,Organophosphorus,"Insecticide, Nematicide",Insecticide,1B,IRAC,Organophosphorus,2688,3937100,21,128
DEMETON,Organophosphorus,"Insecticide, Nematicide",Insecticide,1B,IRAC,Organophosphorus,2,60,1,2
DIAZINON,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,2385,137089,21,128
DICROTOPHOS,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,41,298,2,37
DIMETHOATE,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,2605,546961,21,128
DISULFOTON,Organophosphorus,"Insecticide, Nematicide",Insecticide,1B,IRAC,Organophosphorus,1277,117915,16,116
ETHOPROPHOS,Organophosphorus,"Insecticide, Nematicide",Insecticide,1B,IRAC,Organophosphorus,540,40935,19,100
FENAMIPHOS,Organophosphorus,"Insecticide, Nematicide",Insecticide,1B,IRAC,Organophosphorus,146,4601,12,57
MALATHION,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,2243,336257,21,128
METHAMIDOPHOS,Organophosphorus,"Insecticide, Breakdown product",Insecticide,1B,IRAC,Organophosphorus,809,56513,19,107
METHIDATHION,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,245,770,7,102
METHYL PARATHION,Organophosphorus,"Insecticide, Nematicide",Insecticide,1B,IRAC,Organophosphorus,1594,292380,19,128
MEVINPHOS,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,63,453,4,21
NALED,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,102,749,3,46
