COMPOUND,ChemClassPAN,UseTypePAN,MOA,MOA_source,AlanWoodChemClass
PENTHIOPYRAD,"Amide, Pyrazole",Fungicide,C2,FRAC,"Amide, Pyrazole"
DIURON,Urea,Herbicide,C2,HRAC,Urea
LINURON,Urea,Herbicide,C2,HRAC,Urea
TEBUTHIURON,Urea,Herbicide,C2,HRAC,Urea
FLUOMETURON,Urea,Herbicide,"C2,F3",HRAC,Urea
AZOXYSTROBIN,Strobin,Fungicide,C3,FRAC,Antibiotic
FAMOXADONE,Dicarboximide,Fungicide,C3,FRAC,"Oxazole, Dicarboximide"
FLUOXASTROBIN,Strobin,Fungicide,C3,FRAC,Antibiotic
KRESOXIM-METHYL,Strobin,Fungicide,C3,FRAC,Antibiotic
PYRACLOSTROBIN,Strobin,Fungicide,C3,FRAC,Antibiotic
TRIFLOXYSTROBIN,Strobin,Fungicide,C3,FRAC,Antibiotic
BENTAZONE,Unclassified,Herbicide,C3,HRAC,Unclassified
BROMOXYNIL,Hydroxybenzonitrile,Herbicide,C3,HRAC,Nitrile
PYRIDATE,Unknown,Herbicide,C3,HRAC,Pyridazine
CYAZOFAMID,Azole,Fungicide,C4,FRAC,"Amide, imidazole"
FLUAZINAM,"2,6-Dinitroaniline",Fungicide,C5,FRAC,Pyridine
DINOCAP,Dinitrophenol derivative,"Fungicide, Insecticide",C5,FRAC,Dinitrophenol
FENTIN,"Organotin, Heavy metal","Fungicide, Molluscicide, Herbicide",C6,FRAC,Organotin
PARAQUAT,Bipyridylium,Herbicide,D,HRAC,Quaternary ammonium
DIQUAT,Bipyridylium,"Herbicide, Dessicant",D,HRAC,Quaternary ammonium
CYPRODINIL,Pyrimidine,Fungicide,D1,FRAC,Pyrimidine
PYRIMETHANIL,Pyrimidine,Fungicide,D1,FRAC,Pyrimidine
KASUGAMYCIN,Antibiotic,"Fungicide, Microbiocide",D3,FRAC,Antibiotic
OXYTETRACYCLINE,Antibiotic,"Fungicide, Microbiocide",D5,FRAC,Bactericides
ACIFLUORFEN,Diphenyl ether,Herbicide,E,HRAC,Diphenyl ether
CARFENTRAZONE-ETHYL,Triazolone,Herbicide,E,HRAC,Triazolone
FLUMICLORAC,Unclassified,Herbicide,E,HRAC,Dicarboximide
FLUMIOXAZIN,Unclassified,Herbicide,E,HRAC,Dicarboximide
FLUTHIACET-METHYL,Unknown,Herbicide,E,HRAC,Unclassified
FOMESAFEN,Diphenyl ether,Herbicide,E,HRAC,Diphenyl ether
LACTOFEN,Diphenyl ether,Herbicide,E,HRAC,Diphenyl ether
OXYFLUORFEN,Diphenyl ether,Herbicide,E,HRAC,Diphenyl ether
PYRAFLUFEN ETHYL,Pyrazolylphenyl,Herbicide,E,HRAC,Pyrazole
SULFENTRAZONE,Triazolone,Herbicide,E,HRAC,"Triazolone, amide"
QUINOXYFEN,Quinoline,Fungicide,E1,FRAC,Quinoline
FLUDIOXONIL,Unclassified,Fungicide,E2,FRAC,Pyrrole
IPRODIONE,Dicarboximide,Fungicide,E3,FRAC,"Dicarboximide, Imidazole"
VINCLOZOLIN,Dicarboximide,Fungicide,E3,FRAC,"Oxazole, Dicarboximide"
NORFLURAZON,Pyridazinone,Herbicide,F1,HRAC,Pyridazinone
ISOXAFLUTOLE,Oxazole,Herbicide,F2,HRAC,"Oxazole, Cyclopropylisoxazole"
MESOTRIONE,Benzoylcyclohexanedione,Herbicide,F2,HRAC,Benzoylcyclohexanedione
DICLORAN,Substituted Benzene,Fungicide,F3,FRAC,Aromatic
ETRIDIAZOLE,Azole,Fungicide,F3,FRAC,Thiadiazole
QUINTOZENE,Substituted Benzene,"Fungicide, Nematicide, Algaecide",F3,FRAC,Aromatic
AMITROLE,Unclassified,Herbicide,F3,HRAC,Triazole
CLOMAZONE,Unclassified,Herbicide,F3,HRAC,Unclassified
PROPAMOCARB HCL,Other Carbamate,Fungicide,F4,FRAC,Carbamate
DIMETHOMORPH,Morpholine,Fungicide,F5,FRAC,Morpholine
MANDIPROPAMID,Unknown,Fungicide,F5,FRAC,Amide
BACILLUS SUBTILIS,Microbial,Fungicide,F6,FRAC,NA
GLYPHOSATE,Phosphonoglycine,Herbicide,G,HRAC,Organophosphorus
SULFOSATE,Phosphonoglycine,Herbicide,G,HRAC,"Organophosphorus, glyphosate derivative"
CYPROCONAZOLE,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
DIFENOCONAZOLE,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
FENARIMOL,Pyrimidine,Fungicide,G1,FRAC,Pyrimidine
FENBUCONAZOLE,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
FLUSILAZOLE,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
IMAZALIL,Azole,Fungicide,G1,FRAC,"Conazole, Imidazole"
IPCONAZOLE,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
METCONAZOLE,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
MYCLOBUTANIL,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
PROPICONAZOLE,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
PROTHIOCONAZOLE,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
TEBUCONAZOLE,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
TETRACONAZOLE,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
TRIADIMEFON,Azole,Fungicide,G1,FRAC,"Conazole, triazole"
TRIFLUMIZOLE,Azole,Fungicide,G1,FRAC,"Conazole, Imidazole"
TRIFORINE,Unclassified,"Fungicide, Insecticide",G1,FRAC,Amide
FENHEXAMID,Anilide,Fungicide,G3,FRAC,Amide
GLUFOSINATE,Phosphonoglycine,Herbicide,H,HRAC,Organophosphorus
BENFLURALIN,"2,6-Dinitroaniline",Herbicide,K1,HRAC,Dinitroaniline
BUTRALIN,"2,6-Dinitroaniline",Herbicide,K1,HRAC,Dinitroaniline
DCPA,Alkyl Phthalate,Herbicide,K1,HRAC,Aromatic Acid
ETHALFLURALIN,"2,6-Dinitroaniline",Herbicide,K1,HRAC,Dinitroaniline
ORYZALIN,"2,6-Dinitroaniline",Herbicide,K1,HRAC,Dinitroaniline
PENDIMETHALIN,"2,6-Dinitroaniline",Herbicide,K1,HRAC,Dinitroaniline
PROPYZAMIDE,Amide,Herbicide,K1,HRAC,Amide
TRIFLURALIN,"2,6-Dinitroaniline",Herbicide,K1,HRAC,Dinitroaniline
CHLORPROPHAM,Other Carbamate,"Herbicide, Plant Growth Regulator",K2,HRAC,Carbamate
ACETOCHLOR,Chloroacetanilide,Herbicide,K3,HRAC,Amide
ALACHLOR,Chloroacetanilide,Herbicide,K3,HRAC,Amide
DIMETHENAMID,Amide,Herbicide,K3,HRAC,Amide
DIMETHENAMID-P,Amide,Herbicide,K3,HRAC,Amide
DIPHENAMID,Amide,Herbicide,K3,HRAC,Amide
FLUFENACET,Anilide,Herbicide,K3,HRAC,Amide
METOLACHLOR,Chloroacetanilide,Herbicide,K3,HRAC,Amide
METOLACHLOR-S,Chloroacetanilide,Herbicide,K3,HRAC,Amide
NAPROPAMIDE,Amide,Herbicide,K3,HRAC,Amide
PROPACHLOR,Chloroacetanilide,Herbicide,K3,HRAC,Amide
DICHLOBENIL,Substituted Benzene,Herbicide,L,HRAC,Nitrile
ISOXABEN,"Amide, Oxazole",Herbicide,L,HRAC,"Amide, Oxazole"
DINOSEB,Dinitrophenol derivative,"Defoliant, Herbicide",M,HRAC,Dinitrophenol
ANILAZINE,Triazine,Fungicide,Multi-site,FRAC,Triazine
CAPTAFOL,Thiophthalimide,Fungicide,Multi-site,FRAC,Dicarboximide
CAPTAN,Thiophthalimide,Fungicide,Multi-site,FRAC,Dicarboximide
CHLOROTHALONIL,Substituted Benzene,Fungicide,Multi-site,FRAC,Aromatic
COPPER,Inorganic-Copper,Fungicide,Multi-site,FRAC,Copper
FERBAM,Dithiocarbamate-ETU,Fungicide,Multi-site,FRAC,Dithiocarbamate
MANCOZEB,"Dithiocarbamate-ETU, Inorganic-Zinc",Fungicide,Multi-site,FRAC,"Dithiocarbamate, zinc"
MANEB,Dithiocarbamate-ETU,Fungicide,Multi-site,FRAC,Dithiocarbamate
METIRAM,"Dithiocarbamate-ETU, Inorganic-Zinc",Fungicide,Multi-site,FRAC,"Dithiocarbamate, zinc"
THIRAM,Dithiocarbamate,Fungicide,Multi-site,FRAC,Dithiocarbamate
ZINEB,"Dithiocarbamate-ETU, Inorganic-Zinc",Fungicide,Multi-site,FRAC,"Dithiocarbamate, zinc"
SULFUR,Inorganic,"Fungicide, Insecticide",Multi-site,FRAC,Inorganic
ZIRAM,"Dithiocarbamate, Inorganic-Zinc","Fungicide, Microbiocide, Dog and Cat Repellent",Multi-site,FRAC,Dithiocarbamate
TCA,Unclassified,"Breakdown product, Herbicide",N,HRAC,Halogenated aliphatic
BENSULIDE,Organophosphorus,Herbicide,N,HRAC,Organophosphorus
BUTYLATE,Thiocarbamate,Herbicide,N,HRAC,Thiocarbamate
CYCLOATE,Thiocarbamate,Herbicide,N,HRAC,Thiocarbamate
EPTC,Thiocarbamate,Herbicide,N,HRAC,Thiocarbamate
ETHOFUMESATE,Unclassified,Herbicide,N,HRAC,Benzofuranyl alkylsulfonate
MOLINATE,Thiocarbamate,Herbicide,N,HRAC,Thiocarbamate
PEBULATE,Thiocarbamate,Herbicide,N,HRAC,Thiocarbamate
TRI-ALLATE,Thiocarbamate,Herbicide,N,HRAC,Thiocarbamate
VERNOLATE,Thiocarbamate,Herbicide,N,HRAC,Thiocarbamate
"2,4-DB",Chlorophenoxy acid or ester,Herbicide,O,HRAC,Phenoxy
AMINOPYRALID,Pyridinecarboxylic acid,Herbicide,O,HRAC,"Pyridine, Aromatic acid"
CHLORAMBEN,Benzoic acid,Herbicide,O,HRAC,Aromatic acid
CLOPYRALID,Pyridinecarboxylic acid,Herbicide,O,HRAC,"Pyridine, Aromatic acid"
DICAMBA,Benzoic acid,Herbicide,O,HRAC,Aromatic acid
DICHLORPROP,Chlorophenoxy acid or ester,Herbicide,O,HRAC,Phenoxy
FLUROXYPYR,Pyridinecarboxylic acid,Herbicide,O,HRAC,Pyridine
MCPA,Chlorophenoxy acid or ester,Herbicide,O,HRAC,Phenoxy
MCPB,Chlorophenoxy acid or ester,Herbicide,O,HRAC,Phenoxy
MECOPROP,Chlorophenoxy acid or ester,Herbicide,O,HRAC,Phenoxy
PICLORAM,Pyridinecarboxylic acid,Herbicide,O,HRAC,"Pyridine, Aromatic acid"
TRICLOPYR,Chloropyridinyl,Herbicide,O,HRAC,Pyridine
"2,4-D",Chlorophenoxy acid or ester,"Herbicide, Plant Growth Regulator",O,HRAC,Phenoxy
DIFLUFENZOPYR,Urea,Herbicide,P,HRAC,Urea
NAPTALAM,Amide,Herbicide,P,HRAC,Amide
ACIBENZOLAR,Unclassified,Fungicide,P1,FRAC,Unclassified
CYMOXANIL,Unclassified,Fungicide,UN,FRAC,Aliphatic nitrogen
FOSETYL,Unknown,Fungicide,UN,FRAC,Organophosphorus
METRAFENONE,Unclassified,Fungicide,UN,FRAC,Aryl Phenyl Ketone
PHOSPHORIC ACID,Inorganic,"Fungicide, Herbicide, Microbiocide, pH Adjustment",UN,FRAC,NA
